date,rainfall,average flow,max flow,min flow,fe flow
1/2/2021,2.85,33.47,58.28,11.04,30.61
1/2/2022,2.12,2.12,60.3,4.15,17.56
1/2/2023,0.01,16.37,21.62,10.23,12.94
1/2/2024,0.34,12.65,28.72,5.81,11.93
1/2/2025,,,,,
1/20/2015,0,13.05,16.62,9.92,11.49
1/20/2016,0.69,15.87,31.4,8.24,15.04
1/20/2017,0.02,15.96,29.81,10.95,14.08
1/20/2018,0.15,15.88,33.33,3.75,13.64
1/20/2019,0,12.88,17.91,8.17,12.32
1/20/2020,0,13.22,30.01,5.84,11.41
1/20/2021,0.01,13.87,26.61,7.11,12.23
1/20/2022,0.22,14.97,21.6,9.88,13.74
1/20/2023,0,13.07,16.6,9.97,11.45
1/20/2024,0.31,15.78,30.21,4.23,13.77
1/20/2025,,,,,
1/21/2015,0.01,12.69,20.04,6.35,11.18
1/21/2016,2.03,31.8,51.74,22.33,29.47
1/21/2017,0.17,15.13,20.43,11.01,13.32
1/21/2018,0.22,15.06,31.44,8.6,13.79
1/21/2019,0,12.67,17.2,5.91,11.9
1/21/2020,0.46,15.04,31.41,7.87,12.97
1/21/2021,0.14,13.84,16.77,7.37,12.27
1/21/2022,0,14.02,21.78,5.17,12.51
1/21/2023,0.31,14.87,35.09,7.88,12.57
1/21/2024,0.57,19.88,38.02,10.24,16
1/21/2025,,,,,
1/22/2015,0.06,12.14,20.97,6.3,10.74
1/22/2016,0.2,22.98,28.68,12.75,21.33
1/22/2017,0.06,14.64,18.87,10.48,12.98
1/22/2018,0.28,15.94,31.86,4.38,12.93
1/22/2019,0.94,15.61,30.17,4.54,14.95
1/22/2020,0.84,17.86,30.83,7.17,16.06
1/22/2021,0,13.26,16.97,9.06,11.68
1/22/2022,0,13.82,16.61,9.96,12.2
1/22/2023,0,13.61,16.94,8.75,11.46
1/22/2024,0.62,23.06,38.75,10.2,19.01
1/22/2025,,,,,
1/23/2015,0.32,13.24,29.36,4.06,11.2
1/23/2016,0.53,21.17,44.39,12.48,19.52
1/23/2017,0,14.05,18.31,10.89,12.27
1/23/2018,1.56,22.97,44.16,8.34,19.5
1/23/2019,0.22,16.48,30.04,7,15.82
1/23/2020,1.12,23.09,37.35,10.14,20.2
1/23/2021,0.01,13.05,15.82,9.3,11.64
1/23/2022,0,13.76,16.33,9.15,12.41
1/23/2023,0,13.53,23.52,5.16,11.07
1/23/2024,0.03,18.37,38.62,3.96,15.31
1/23/2025,,,,,
1/24/2015,0.06,12.63,17.68,7.56,11.37
1/24/2016,0,17.29,25.3,11.92,16.56
